query_id,db_id,pident,identity_bin,true_label,pred_label_blast,blast_correct
gb|NP_253005.1|ARO:3004069|MvaT,gb|BCT36862.1|ARO:3007825|GES-47,23.881,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|BAE77933.1|ARO:3000518|CRP,gb|AGC92784.1|ARO:3000848|DIM-1,37.5,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|CAC14595.1|ARO:3003056|smeE,gb|AAG07594.1|ARO:3000808|MexI,31.31,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAD70268.1|ARO:3002704|fexA,gb|NP_216393.1|ARO:3007662|Rv1877,29.508,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA99505.1|ARO:3002988|bcrB,gb|ULU82656.1|ARO:3008499|OXA-1081,24.242,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAD04032.1|ARO:3002892|otr(B),gb|NP_216393.1|ARO:3007662|Rv1877,30.182,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAM12479.1|ARO:3000567|tet(40),gb|WP_124470450.1|ARO:3007494|tet(64),28.685,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAK97755.1|ARO:3000167|tet(C),gb|QIQ10744.1|ARO:3007492|tet(62),55.838,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAD25538.1|ARO:3000174|tet(G),gb|QIQ10744.1|ARO:3007492|tet(62),67.617,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAF27726.1|ARO:3002694|cmlA4,gb|AMD83542.1|ARO:3007669|aadT,25.862,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAB36671.1|ARO:3000832|evgA,gb|CAE48335.2|ARO:3002599|AAC6_30_AAC6_Ib,23.529,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAA26057.1|ARO:3002693|cmlA1,gb|NP_216393.1|ARO:3007662|Rv1877,31.544,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAL30186.1|ARO:3002699|cmlB1,gb|QJR33972.1|ARO:3007493|tet(63),23.707,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC73564.1|ARO:3000216|acrB,gb|AAG07594.1|ARO:3000808|MexI,30.939,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAA75663.1|ARO:3000175|tet(H),gb|QIQ10744.1|ARO:3007492|tet(62),49.476,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAW66497.1|ARO:3000566|tet(39),gb|WP_124470450.1|ARO:3007494|tet(64),56.568,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAG05881.1|ARO:3000803|MexE,gb|NP_706356.2|ARO:3007509|Sfle_acrA,34.031,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAD12753.1|ARO:3000177|tet(J),gb|QIQ10744.1|ARO:3007492|tet(62),50.526,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAB84282.1|ARO:3000181|tet(V),gb|BAL43360.1|ARO:3003745|mef(C),23.295,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CCQ22388.1|ARO:3000421|norB,gb|NP_216393.1|ARO:3007662|Rv1877,25.325,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL19304.1|ARO:3000791|mdsC,gb|CYF42523.1|ARO:3004047|kdpD,53.333,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|ABS43901.1|ARO:3000783|cmeA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,30.495,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC77293.1|ARO:3001214|mdtM,gb|NP_216393.1|ARO:3007662|Rv1877,24.026,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAF67494.2|ARO:3002522|novA,gb|AAC75271.1|ARO:3003952|YojI,22.078,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAJ77857.1|ARO:3000778|adeG,gb|NP_706356.2|ARO:3007509|Sfle_acrA,33.676,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAB35162.1|ARO:3000676|H-NS,gb|CBZ41939.1|ARO:3005097|mecC-type_BlaZ,26.154,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAB58161.1|ARO:3003010|ceoB,gb|AAG07594.1|ARO:3000808|MexI,33.658,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA22277.1|ARO:3003007|bmr,gb|WPF67354.1|ARO:3007838|tet(65),26.357,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC60781.1|ARO:3003048|rosA,gb|QNR09091.1|ARO:3007044|mef(F),27.215,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL75563.1|ARO:3000168|tet(D),gb|QIQ10744.1|ARO:3007492|tet(62),52.094,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|ACJ63262.1|ARO:3003107|mef(B),gb|QNR09091.1|ARO:3007044|mef(F),38.636,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AEZ36150.1|ARO:3000448|QepA1,gb|AMD83542.1|ARO:3007669|aadT,37.021,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL14439.1|ARO:3000774|adeA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,39.335,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC75137.1|ARO:3000794|mdtC,gb|AAG07594.1|ARO:3000808|MexI,30.469,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC75429.1|ARO:3000833|evgS,gb|CYF42523.1|ARO:3004047|kdpD,28.205,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAF42063.1|ARO:3000810|mtrC,gb|NP_706356.2|ARO:3007509|Sfle_acrA,42.347,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAG03380.1|ARO:3002703|cmx,gb|QIQ10744.1|ARO:3007492|tet(62),30.0,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL19305.1|ARO:3000790|mdsB,gb|AAG07594.1|ARO:3000808|MexI,33.876,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ATC67679.1|ARO:3000838|arlR,gb|AAF86691.1|ARO:3001816|ACC-2,35.294,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|BAA16344.1|ARO:3000491|acrD,gb|AAG07594.1|ARO:3000808|MexI,31.34,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAK52606.1|ARO:3002696|cmlA6,gb|NP_216393.1|ARO:3007662|Rv1877,31.544,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE78084.1|ARO:3003548|mdtN,gb|NP_706356.2|ARO:3007509|Sfle_acrA,29.87,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB28795.1|ARO:3000178|tet(K),gb|QJR33972.1|ARO:3007493|tet(63),73.894,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|AFK80333.1|ARO:3001313|facT,gb|NP_216393.1|ARO:3007662|Rv1877,26.62,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ACJ41739.1|ARO:3000780|adeI,gb|NP_706356.2|ARO:3007509|Sfle_acrA,45.792,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAG07593.1|ARO:3000807|MexH,gb|NP_706356.2|ARO:3007509|Sfle_acrA,25.767,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC76298.1|ARO:3000502|AcrF,gb|AAG07594.1|ARO:3000808|MexI,32.502,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC76297.1|ARO:3000499|AcrE,gb|NP_706356.2|ARO:3007509|Sfle_acrA,69.067,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAD51344.1|ARO:3003051|smeA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,46.133,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|CAH35803.1|ARO:3002982|amrA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,40.47,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAS68233.1|ARO:3000391|norA,gb|WPF67354.1|ARO:3007838|tet(65),25.664,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB41957.1|ARO:3000801|MexD,gb|AAG07594.1|ARO:3000808|MexI,30.422,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAP93922.1|ARO:3000569|tet(41),gb|WP_124470450.1|ARO:3007494|tet(64),70.541,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|AYV52072.1|ARO:3002882|lmrD,gb|AAC75271.1|ARO:3003952|YojI,19.215,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAM10414.1|ARO:3003039|OprA,gb|AAR29485.1|ARO:3007120|tet(O/M/O),27.835,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAX14803.1|ARO:3000782|adeK,gb|CAA63498.2|ARO:3004458|Efae_ACT_CHL,18.0,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AFK13828.1|ARO:3000823|ramA,gb|WP_152315468.1|ARO:3006027|OXA-830,36.842,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAV85981.1|ARO:3000533|macA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,26.706,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB58160.1|ARO:3003009|ceoA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,41.284,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|CAA03986.1|ARO:3000343|tap,gb|AAS13767.1|ARO:3003839|Mrx,29.243,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAC45805.1|ARO:3002702|cmrA,gb|WPF67354.1|ARO:3007838|tet(65),35.632,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA16547.1|ARO:3000027|emrA,gb|WP_051021433.1|ARO:3004600|LnuH,42.857,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|ACS83748.1|ARO:3000573|tet(43),gb|AMD83542.1|ARO:3007669|aadT,28.81,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA34300.1|ARO:3003033|mexY,gb|AAG07594.1|ARO:3000808|MexI,29.924,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAB13166.1|ARO:3003063|ykkC,gb|WP_063860833.1|ARO:3006949|MAL-1,81.818,70_to_90,antibiotic efflux,antibiotic inactivation,0
gb|AAC75733.1|ARO:3000074|emrB,gb|AMD83542.1|ARO:3007669|aadT,27.913,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AGV28567.1|ARO:3000559|adeN,gb|UUF82537.1|ARO:3008145|CTX-M-256,27.907,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|BAE77781.1|ARO:3000795|mdtE,gb|NP_706356.2|ARO:3007509|Sfle_acrA,54.45,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|BAA15221.2|ARO:3000263|marA,gb|BDT38932.1|ARO:3008577|OXA-1159,32.5,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAF42062.1|ARO:3000811|mtrD,gb|AAG07594.1|ARO:3000808|MexI,32.319,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA74437.1|ARO:3000378|MexB,gb|AAG07594.1|ARO:3000808|MexI,30.115,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAD09860.1|ARO:3000561|tet(30),gb|WP_124470450.1|ARO:3007494|tet(64),50.943,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAV80464.1|ARO:3000565|tet(38),gb|QJR33972.1|ARO:3007493|tet(63),28.095,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAN06707.1|ARO:3000165|tet(A),gb|QIQ10744.1|ARO:3007492|tet(62),55.181,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAD25063.1|ARO:3000183|tet(Z),gb|WPF67354.1|ARO:3007838|tet(65),72.775,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|AAD51345.1|ARO:3003052|smeB,gb|AAG07594.1|ARO:3000808|MexI,31.31,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC36944.1|ARO:3003006|blt,gb|WPF67354.1|ARO:3007838|tet(65),30.833,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA07072.1|ARO:3002812|pp-flo,gb|QJR33972.1|ARO:3007493|tet(63),21.569,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAK76137.1|ARO:3000024|patA,gb|AAC75271.1|ARO:3003952|YojI,22.954,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAK76136.1|ARO:3000025|patB,gb|AAC75271.1|ARO:3003952|YojI,20.131,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAK99679.1|ARO:3000822|pmrA,gb|QIQ10744.1|ARO:3007492|tet(62),24.828,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAD12227.2|ARO:3000478|tet(33),gb|WPF67354.1|ARO:3007838|tet(65),69.634,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAR96051.1|ARO:3002894|otr(C),gb|QQA64075.1|ARO:3007043|msr(I),48.649,40_to_70,antibiotic efflux,antibiotic target protection,0
gb|AAG03546.1|ARO:3003679|TriA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,25.616,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG03547.1|ARO:3003680|TriB,gb|NP_706356.2|ARO:3007509|Sfle_acrA,23.607,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG03548.1|ARO:3003681|TriC,gb|AAG07594.1|ARO:3000808|MexI,23.734,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG08359.1|ARO:3003682|OpmH,gb|BFF41852.1|ARO:3008638|OXA-1228,32.353,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|BAE06007.1|ARO:3003698|mexP,gb|NP_706356.2|ARO:3007509|Sfle_acrA,32.615,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE06008.1|ARO:3003699|mexQ,gb|AAG07594.1|ARO:3000808|MexI,34.828,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG07065.1|ARO:3003692|MexJ,gb|NP_706356.2|ARO:3007509|Sfle_acrA,22.343,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG07064.1|ARO:3003693|MexK,gb|AAG07594.1|ARO:3000808|MexI,24.378,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG07762.1|ARO:3003030|MexV,gb|NP_706356.2|ARO:3007509|Sfle_acrA,28.169,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG07763.1|ARO:3003031|MexW,gb|AAG07594.1|ARO:3000808|MexI,50.545,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|BAE06009.1|ARO:3003700|opmE,gb|CAC17626.1|ARO:3002519|OCH-6,26.923,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|BAE06005.1|ARO:3003704|mexM,gb|NP_706356.2|ARO:3007509|Sfle_acrA,32.086,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE06006.1|ARO:3003705|mexN,gb|AAG07594.1|ARO:3000808|MexI,30.637,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA26793.1|ARO:3003748|oleC,gb|AJP12342.1|ARO:3007637|cplR,24.699,lt_40,antibiotic efflux,antibiotic target protection,0
gb|ABW91179.1|ARO:3004665|cmlA8,gb|NP_216393.1|ARO:3007662|Rv1877,31.544,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC73788.1|ARO:3003841|kdpE,gb|CAA37605.1|ARO:3002638|APH(3'')-Ia,36.17,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|NP_862226.1|ARO:3004639|Cstr_tetA,gb|AKC61310.1|ARO:3007645|Cspo_cplR,34.848,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAP43109.1|ARO:3003922|oqxA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,33.508,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAP43110.2|ARO:3003923|oqxB,gb|AAG07594.1|ARO:3000808|MexI,31.094,lt_40,antibiotic efflux,antibiotic efflux,1
gb|XP_753111.1|ARO:3003942|abcA,gb|AJP12342.1|ARO:3007637|cplR,32.836,lt_40,antibiotic efflux,antibiotic target protection,0
gb|WP_104671188.1|ARO:3003948|efrA,gb|AAC75271.1|ARO:3003952|YojI,27.556,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CDO61516.1|ARO:3003949|efrB,gb|AAC75271.1|ARO:3003952|YojI,25.352,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC74000.1|ARO:3003950|msbA,gb|AAC75271.1|ARO:3003952|YojI,23.014,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ADO96486.1|ARO:3003953|hmrM,gb|ABS70977.1|ARO:3004623|AAC(3)-IId,36.538,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|BAG75524.1|ARO:3003954|efmA,gb|QNR09091.1|ARO:3007044|mef(F),35.969,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CCP45647.1|ARO:3003955|efpA,gb|NP_216393.1|ARO:3007662|Rv1877,29.973,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAF40764.1|ARO:3003962|farB,gb|AMD83542.1|ARO:3007669|aadT,27.143,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAD08227.1|ARO:3003964|hp1181,gb|QIQ10744.1|ARO:3007492|tet(62),24.033,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ABF33001.1|ARO:3003969|lmrP,gb|QIQ10744.1|ARO:3007492|tet(62),22.319,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC43550.1|ARO:3003967|lfrA,gb|AMD83542.1|ARO:3007669|aadT,34.81,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAF74725.1|ARO:3004659|Mef(En2),gb|BAL43360.1|ARO:3003745|mef(C),39.535,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA14147.1|ARO:3004667|Saur_norA,gb|WPF67354.1|ARO:3007838|tet(65),25.369,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ADI87853.1|ARO:3004666|pexA,gb|QJR33972.1|ARO:3007493|tet(63),32.184,lt_40,antibiotic efflux,antibiotic efflux,1
gb|APB03219.1|ARO:3003986|TaeA,gb|AJP12342.1|ARO:3007637|cplR,30.175,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAG05916.1|ARO:3004073|MuxA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,31.926,lt_40,antibiotic efflux,antibiotic efflux,1
gb|APB03214.1|ARO:3003980|tetA(58),gb|AAC75271.1|ARO:3003952|YojI,24.201,lt_40,antibiotic efflux,antibiotic efflux,1
gb|SIP52035.1|ARO:3004054|Paer_CpxR,gb|BAR80870.1|ARO:3004823|IMP-52,44.444,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|ANZ79241.1|ARO:3004036|tetB(60),gb|AAC75271.1|ARO:3003952|YojI,20.124,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AET10444.1|ARO:3004032|tetA(46),gb|AJP12342.1|ARO:3007637|cplR,26.522,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AET10445.1|ARO:3004033|tetB(46),gb|AAC75271.1|ARO:3003952|YojI,25.991,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ANZ79240.1|ARO:3004035|tetA(60),gb|AAC75271.1|ARO:3003952|YojI,26.19,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG16656.1|ARO:3002705|floR,gb|QJR33972.1|ARO:3007493|tet(63),21.569,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG05913.1|ARO:3004072|OpmB,gb|AJP77071.1|ARO:3003714|PEDO-2,32.308,lt_40,antibiotic efflux,antibiotic inactivation,0
