query_id,db_id,pident,identity_bin,true_label,pred_label_blast,blast_correct
gb|WP_001985623.1|ARO:3004578|Abau_AbuO,gb|AAO42740.1|ARO:3007123|tet(O/W/O),32.075,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAK52606.1|ARO:3002696|cmlA6,gb|NP_216393.1|ARO:3007662|Rv1877,31.544,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE78084.1|ARO:3003548|mdtN,gb|NP_706356.2|ARO:3007509|Sfle_acrA,29.87,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB28795.1|ARO:3000178|tet(K),gb|QJR33972.1|ARO:3007493|tet(63),73.894,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|AFK80333.1|ARO:3001313|facT,gb|AMD83542.1|ARO:3007669|aadT,28.474,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ACJ41739.1|ARO:3000780|adeI,gb|NP_706356.2|ARO:3007509|Sfle_acrA,45.792,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAC76298.1|ARO:3000502|AcrF,gb|AAG07594.1|ARO:3000808|MexI,32.502,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC76297.1|ARO:3000499|AcrE,gb|NP_706356.2|ARO:3007509|Sfle_acrA,69.067,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAD51344.1|ARO:3003051|smeA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,46.133,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|CAH35803.1|ARO:3002982|amrA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,40.47,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAS68233.1|ARO:3000391|norA,gb|WPF67354.1|ARO:3007838|tet(65),25.664,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB41957.1|ARO:3000801|MexD,gb|AAG07594.1|ARO:3000808|MexI,30.422,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAP93922.1|ARO:3000569|tet(41),gb|WP_124470450.1|ARO:3007494|tet(64),70.541,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|AYV52072.1|ARO:3002882|lmrD,gb|AAC75271.1|ARO:3003952|YojI,19.215,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAV85981.1|ARO:3000533|macA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,26.706,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB58160.1|ARO:3003009|ceoA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,41.284,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|CAA03986.1|ARO:3000343|tap,gb|QNR09091.1|ARO:3007044|mef(F),25.138,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC45805.1|ARO:3002702|cmrA,gb|AAB36568.1|ARO:3002700|cmlv,45.573,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|ACS83748.1|ARO:3000573|tet(43),gb|AMD83542.1|ARO:3007669|aadT,28.81,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA34300.1|ARO:3003033|mexY,gb|AAG07594.1|ARO:3000808|MexI,29.924,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC75733.1|ARO:3000074|emrB,gb|AMD83542.1|ARO:3007669|aadT,27.913,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE77781.1|ARO:3000795|mdtE,gb|NP_706356.2|ARO:3007509|Sfle_acrA,54.45,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAF42062.1|ARO:3000811|mtrD,gb|AAG07594.1|ARO:3000808|MexI,32.319,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA74437.1|ARO:3000378|MexB,gb|AAG07594.1|ARO:3000808|MexI,30.115,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAD09860.1|ARO:3000561|tet(30),gb|WP_124470450.1|ARO:3007494|tet(64),50.943,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAV80464.1|ARO:3000565|tet(38),gb|QJR33972.1|ARO:3007493|tet(63),28.095,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAN06707.1|ARO:3000165|tet(A),gb|QIQ10744.1|ARO:3007492|tet(62),55.181,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAD25063.1|ARO:3000183|tet(Z),gb|WPF67354.1|ARO:3007838|tet(65),72.775,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|AAD51345.1|ARO:3003052|smeB,gb|AAG07594.1|ARO:3000808|MexI,31.31,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC36944.1|ARO:3003006|blt,gb|WPF67354.1|ARO:3007838|tet(65),30.833,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA07072.1|ARO:3002812|pp-flo,gb|AMD83542.1|ARO:3007669|aadT,28.488,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAK76137.1|ARO:3000024|patA,gb|AAC75271.1|ARO:3003952|YojI,22.954,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAK76136.1|ARO:3000025|patB,gb|AKC61310.1|ARO:3007645|Cspo_cplR,23.176,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAK99679.1|ARO:3000822|pmrA,gb|QIQ10744.1|ARO:3007492|tet(62),24.828,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAD12227.2|ARO:3000478|tet(33),gb|WPF67354.1|ARO:3007838|tet(65),69.634,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAG03547.1|ARO:3003680|TriB,gb|NP_706356.2|ARO:3007509|Sfle_acrA,23.607,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG03548.1|ARO:3003681|TriC,gb|AAG07594.1|ARO:3000808|MexI,23.734,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE06007.1|ARO:3003698|mexP,gb|NP_706356.2|ARO:3007509|Sfle_acrA,32.615,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE06008.1|ARO:3003699|mexQ,gb|AAG07594.1|ARO:3000808|MexI,34.828,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG07064.1|ARO:3003693|MexK,gb|AAG07594.1|ARO:3000808|MexI,24.378,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG07762.1|ARO:3003030|MexV,gb|NP_706356.2|ARO:3007509|Sfle_acrA,28.169,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG07763.1|ARO:3003031|MexW,gb|AAG07594.1|ARO:3000808|MexI,50.545,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|BAE06005.1|ARO:3003704|mexM,gb|NP_706356.2|ARO:3007509|Sfle_acrA,32.086,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE06006.1|ARO:3003705|mexN,gb|AAG07594.1|ARO:3000808|MexI,30.637,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA26793.1|ARO:3003748|oleC,gb|AKC61310.1|ARO:3007645|Cspo_cplR,31.915,lt_40,antibiotic efflux,antibiotic target protection,0
gb|ABW91179.1|ARO:3004665|cmlA8,gb|NP_216393.1|ARO:3007662|Rv1877,31.544,lt_40,antibiotic efflux,antibiotic efflux,1
gb|NP_862226.1|ARO:3004639|Cstr_tetA,gb|AKC61310.1|ARO:3007645|Cspo_cplR,34.848,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAP43109.1|ARO:3003922|oqxA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,33.508,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAP43110.2|ARO:3003923|oqxB,gb|AAG07594.1|ARO:3000808|MexI,31.094,lt_40,antibiotic efflux,antibiotic efflux,1
gb|XP_753111.1|ARO:3003942|abcA,gb|APB03215.1|ARO:3003981|tetB(58),20.0,lt_40,antibiotic efflux,antibiotic efflux,1
gb|WP_104671188.1|ARO:3003948|efrA,gb|AAC75271.1|ARO:3003952|YojI,27.556,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CDO61516.1|ARO:3003949|efrB,gb|AAC75271.1|ARO:3003952|YojI,25.352,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC74000.1|ARO:3003950|msbA,gb|AAC75271.1|ARO:3003952|YojI,23.014,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAG75524.1|ARO:3003954|efmA,gb|QNR09091.1|ARO:3007044|mef(F),35.969,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CCP45647.1|ARO:3003955|efpA,gb|NP_216393.1|ARO:3007662|Rv1877,29.973,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAF40764.1|ARO:3003962|farB,gb|AMD83542.1|ARO:3007669|aadT,27.143,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAD08227.1|ARO:3003964|hp1181,gb|NP_216393.1|ARO:3007662|Rv1877,32.692,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC43550.1|ARO:3003967|lfrA,gb|AMD83542.1|ARO:3007669|aadT,34.81,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAF74725.1|ARO:3004659|Mef(En2),gb|BAL43360.1|ARO:3003745|mef(C),39.535,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA14147.1|ARO:3004667|Saur_norA,gb|WPF67354.1|ARO:3007838|tet(65),25.369,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ADI87853.1|ARO:3004666|pexA,gb|AXF93714.1|ARO:3007282|MCR-5.3,39.13,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|APB03219.1|ARO:3003986|TaeA,gb|AJP12342.1|ARO:3007637|cplR,30.175,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAG05916.1|ARO:3004073|MuxA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,31.926,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ANZ79241.1|ARO:3004036|tetB(60),gb|AAC75271.1|ARO:3003952|YojI,20.124,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AET10444.1|ARO:3004032|tetA(46),gb|BAB80490.1|ARO:3007644|Cper_cplR,22.995,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AET10445.1|ARO:3004033|tetB(46),gb|AAC75271.1|ARO:3003952|YojI,25.991,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ANZ79240.1|ARO:3004035|tetA(60),gb|AAC75271.1|ARO:3003952|YojI,26.19,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG16656.1|ARO:3002705|floR,gb|AMD83542.1|ARO:3007669|aadT,29.197,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAC41008.1|ARO:3004041|Kpne_acrA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,81.203,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|ABG77965.1|ARO:3004042|Eclo_acrA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,86.146,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|AAC73565.1|ARO:3004043|Ecol_acrA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,99.496,90_to_100,antibiotic efflux,antibiotic efflux,1
gb|ALV80601.1|ARO:3003801|bcr-1,gb|WP_124470450.1|ARO:3007494|tet(64),34.225,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA22851.1|ARO:3000179|tet(L),gb|QJR33972.1|ARO:3007493|tet(63),61.333,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AEX49906.1|ARO:3003583|basS,gb|CYF42523.1|ARO:3004047|kdpD,26.038,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG05882.1|ARO:3000804|MexF,gb|AAG07594.1|ARO:3000808|MexI,34.305,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG05915.1|ARO:3004074|MuxB,gb|AAG07594.1|ARO:3000808|MexI,32.249,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG05914.1|ARO:3004075|MuxC,gb|AAG07594.1|ARO:3000808|MexI,31.655,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAH14033.1|ARO:3004100|LpeB,gb|AAG07594.1|ARO:3000808|MexI,32.043,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ACF70723.1|ARO:3004103|QepA2,gb|AMD83542.1|ARO:3007669|aadT,37.021,lt_40,antibiotic efflux,antibiotic efflux,1
gb|EGP45232.2|ARO:3004143|AxyX,gb|NP_706356.2|ARO:3007509|Sfle_acrA,40.314,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|EGP45231.1|ARO:3004144|AxyY,gb|AAG07594.1|ARO:3000808|MexI,30.709,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AFH35853.1|ARO:3001328|Ecol_mdfA,gb|QIQ10744.1|ARO:3007492|tet(62),26.383,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAD31707.1|ARO:3002691|Sent_cmlA,gb|NP_216393.1|ARO:3007662|Rv1877,31.159,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AQX36338.1|ARO:3004379|QepA4,gb|AMD83542.1|ARO:3007669|aadT,37.234,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AMP42492.1|ARO:3004441|tet(59),gb|QIQ10744.1|ARO:3007492|tet(62),49.077,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|ACQ82816.1|ARO:3004577|Abau_AmvA,gb|AMD83542.1|ARO:3007669|aadT,43.558,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|EOU56998.1|ARO:3004597|Kpne_KpnH,gb|AMD83542.1|ARO:3007669|aadT,27.913,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AJO67548.1|ARO:3005006|tet(57),gb|QIQ10744.1|ARO:3007492|tet(62),49.612,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|ABZ01840.1|ARO:3005043|cmlA9,gb|AMD83542.1|ARO:3007669|aadT,29.197,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG05187.1|ARO:3005067|ParS,gb|CYF42523.1|ARO:3004047|kdpD,24.138,lt_40,antibiotic efflux,antibiotic efflux,1
gb|QHW12307.1|ARO:3005089|mef(D),gb|QQA64076.1|ARO:3007049|mef(J),77.694,70_to_90,antibiotic efflux,antibiotic efflux,1
gb|ADZ12699.1|ARO:3005091|RanA,gb|AAC75271.1|ARO:3003952|YojI,23.963,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAW38464.1|ARO:3004572|Saur_LmrS,gb|NP_216393.1|ARO:3007662|Rv1877,25.527,lt_40,antibiotic efflux,antibiotic efflux,1
gb|WP_002289367.1|ARO:3007011|mdeA,gb|NP_216393.1|ARO:3007662|Rv1877,27.5,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAB43261.1|ARO:3007013|sdrM,gb|NP_216393.1|ARO:3007662|Rv1877,24.344,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AEV23046.1|ARO:3007019|fexB,gb|QJR33972.1|ARO:3007493|tet(63),27.917,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ACN32294.1|ARO:3000237|TolC,gb|AAA22081.1|ARO:3004451|Afab_ACT_CHL,41.667,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|ACT97415.1|ARO:3002999|CblA-1,gb|AAA21532.1|ARO:3003559|cepA,43.599,40_to_70,antibiotic inactivation,antibiotic inactivation,1
gb|AEJ08681.1|ARO:3001109|SHV-52,gb|ABC54571.1|ARO:3001139|SHV-85,98.601,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|AFJ59957.1|ARO:3001989|CTX-M-130,gb|ADZ31262.1|ARO:3001966|CTX-M-106,99.31,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|AEX08599.1|ARO:3002356|NDM-6,gb|AKF43458.1|ARO:3003663|NDM-15,99.63,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|BAP68758.1|ARO:3001855|ACT-35,gb|WP_033487869.1|ARO:3006251|ACT-56,99.738,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|AAF61417.1|ARO:3002244|CARB-5,gb|AAO59455.1|ARO:3002247|CARB-8,99.329,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|AAT45742.1|ARO:3000988|TEM-126,gb|CAG25427.1|ARO:3000999|TEM-135,99.65,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|ACH58990.1|ARO:3002511|LRA-12,gb|ACH59005.1|ARO:3002513|LRA-19,63.103,40_to_70,antibiotic inactivation,antibiotic inactivation,1
gb|AAF19151.1|ARO:3000938|TEM-72,gb|CAC85660.1|ARO:3000960|TEM-93,99.65,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|AAD45935.1|ARO:3000928|TEM-59,gb|AAF05613.1|ARO:3000942|TEM-76,99.639,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|ACS35345.1|ARO:3002320|KPC-10,gb|ABY91240.1|ARO:3002315|KPC-5,99.659,90_to_100,antibiotic inactivation,antibiotic inactivation,1
gb|AEV91551.1|ARO:3001711|OXA-212,gb|CCW28916.1|ARO:3001504|OXA-309,95.255,90_to_100,antibiotic inactivation,antibiotic inactivation,1
